Name,location_lat,location_lng,Date,Date Expanded (times in EST),Year,Price as number,Price,Style,borough,street,city,state,country
Star 99¢ Pizza,40.71807,-73.98586,2020-0707,"Jul 7th 2020, 3:06:36 pm",2020,1,$1.00 ,Plain,Manhattan,Delancey Street,City of New York,New York,United States
Pizza D'Amore,40.5801496,-73.8370727,2020-0703,"Jul 3rd 2020, 11:28:19 am",2020,2.5,$2.50 ,Plain,Queens,Beach 116th Street,City of New York,New York,United States
Joe's Pizza By The Sea,40.5875839,-73.8127052,2020-0624,"Jun 24th 2020, 10:35:37 pm",2020,2.5,$2.50 ,Plain,Queens County,Rockaway Beach Boulevard,City of New York,New York,United States
Joe & Sal's Pizza Fort Greene,40.69332939,-73.97220254,2020-0414,"Apr 14th 2020, 5:37:00 pm",2020,2.75,$2.75 ,Plain,Brooklyn,Myrtle Avenue,City of New York,New York,United States
Marios Chicken Pizza & Grill,40.6027254,-73.7503447,2020-0330,"Aug 30th 2020, 3:22:12 pm",2020,2,$2.00 ,Plain,Queens,Mott Avenue,City of New York,New York,United States
Pizza plus & the margarita bar,40.7016926,-74.01290658,2020-0208,"Feb 8th 2020, 1:21:06 pm",2020,4.4,$4.40 ,Pepperoni,Manhattan,Peter Minuit Plaza Greenway,City of New York,New York,United States
Pizza's San Miguel,40.63886,-73.96888,2020-0111,"Jan 11th 2020, 5:28:03 pm",2020,2,$2.00 ,Plain,Brooklyn,Coney Island Avenue,City of New York,New York,United States
Tommy's Pizza,40.68616,-73.82553,2019-1111,"Nov 11th 2019, 1:59:41 pm",2019,3,$3.00 ,Plain,Queens,Liberty Avenue,City of New York,New York,United States
Big Daddy's Pizza,40.67435,-74.0071,2019-1026,"Oct 26th 2019, 3:31:41 pm",2019,2,$2.00 ,Plain,Brooklyn,Lorraine Street,City of New York,New York,United States
Bella Pizza Inc,40.70684,-73.78983,2019-1019,"Oct 19th 2019, 5:14:44 pm",2019,2,$2.00 ,Plain,Queens,Jamaica Avenue,City of New York,New York,United States
Tipsy Tomato Pizzeria,40.680199,-73.845768,2019-1011,"Oct 11th 2019, 3:44:07 pm",2019,2.75,$2.75 ,Plain,Queens,Liberty Avenue,City of New York,New York,United States
Unique Bazaar Jamaica NY,40.70373,-73.79706,2019-0928,"Sep 28th 2019, 4:24:12 pm",2019,1.5,$1.50 ,Plain,Queens,Guy R. Brewer Boulevard,City of New York,New York,United States
Margherita Pizza Inc,40.70453082,-73.79679273,2019-0928,"Sep 28th 2019, 3:45:01 pm",2019,3.25,$3.25 ,Plain,Queens,Jamaica Avenue,City of New York,New York,United States
Harbor Pizzeria,40.7183175,-73.8727355,2019-0913,"Sep 13th 2019, 9:55:58 pm",2019,2.75,$2.75 ,Plain,Queens,Dry Harbor Road,City of New York,New York,United States
Slice of Brooklyn,40.65691,-74.00143,2019-0807,"Aug 7th 2019, 1:41:03 pm",2019,2.25,$2.25 ,Plain,Kings County,4th Avenue,City of New York,New York,United States
Slice of Brooklyn,40.65691,-74.00143,2019-0807,"Aug 7th 2019, 1:41:03 pm",2019,2.25,$2.25 ,Plain,Kings County,4th Avenue,City of New York,New York,United States
Best Pizza Williamsburg,40.71561,-73.95352,2019-0721,"Jul 21st 2019, 11:18:50 pm",2019,4.25,$4.25 ,White,Brooklyn,Havemeyer Street,City of New York,New York,United States
Ciros Pizza,40.57914,-73.83702,2019-0719,"Jul 19th 2019, 12:30:08 pm",2019,2.75,$2.75 ,Plain,Queens,Beach 116th Street,City of New York,New York,United States
99c Fresh Pizza,40.7518124,-73.9743737,2019-0611,"Jun 11th 2019, 3:34:03 pm",2019,1,$1.00 ,Plain,Manhattan,East 43rd Street,City of New York,New York,United States
Mangiamo Pizza,40.69909,-73.9147,2019-0605,"Jun 5th 2019, 8:40:18 pm",2019,2,$2.00 ,Plain,Brooklyn,Irving Avenue,City of New York,New York,United States
Farmers Pizzeria Inc.,40.70103,-73.76505,2019-0517,"May 17th 2019, 2:34:58 pm",2019,2,$2.00 ,Plain,Queens,Farmers Boulevard,City of New York,New York,United States
Margherita Pizza Inc,40.70453082,-73.79679273,2019-0427,"Apr 27th 2019, 3:24:11 pm",2019,4.25,$4.25 ,Pepperoni,Queens,Jamaica Avenue,City of New York,New York,United States
Farmers Pizza and Grill,40.69088,-73.76194,2019-0425,"Apr 25th 2019, 2:47:56 pm",2019,2,$2.00 ,Plain,Queens,Farmers Boulevard,City of New York,New York,United States
W4 Pizza,40.731687,-74.001115,2019-0423,"Apr 23rd 2019, 4:30:00 pm",2019,2.5,$2.50 ,Pepperoni,Manhattan,West 4th Street,City of New York,New York,United States
Luna Pizza,40.71350162,-73.99854598,2019-0408,"Apr 8th 2019, 8:52:34 pm",2019,4,$4.00 ,Pepperoni,Manhattan,Oliver Street,City of New York,New York,United States
Justino's Pizzeria Pizzeria,40.70883,-74.00531,2019-0402,"Apr 2nd 2019, 1:55:21 pm",2019,2.75,$2.75 ,Plain,Manhattan,Fulton Street,City of New York,New York,United States
Joe's Pizzeria & Restaurant,40.67869,-73.86793,2019-0309,"Mar 9th 2019, 1:12:51 pm",2019,2.5,$2.50 ,Plain,Brooklyn,Liberty Avenue,City of New York,New York,United States
Ancona Pizzeria & Heroes,40.66153,-73.69983,2019-0303,"Mar 3rd 2019, 3:55:04 pm",2019,3.8,$3.80 ,Pepperoni,,Rockaway Avenue,,New York,United States
Hot Fresh Pizza 99c,40.71885,-74.00036,2019-0228,"Feb 28th 2019, 6:49:52 pm",2019,1,$1.00 ,Plain,Manhattan,Lafayette Street,City of New York,New York,United States
Gino's,40.71067473,-73.99656346,2019-0221,"Feb 21st 2019, 6:58:53 pm",2019,2,$2.00 ,Plain,Manhattan,Catherine Street,City of New York,New York,United States
Famous Calabria Pizza,40.7116825,-73.9995925,2019-0220,"Feb 20th 2019, 8:49:19 pm",2019,3,$3.00 ,Plain,Manhattan,Pearl Street,City of New York,New York,United States
Roccos Pizzeria,40.692128,-73.94570415,2019-0210,"Feb 10th 2019, 12:05:49 am",2019,2.75,$2.75 ,Plain,Brooklyn,Tompkins Avenue,City of New York,New York,United States
Hi-Class Pizza,40.72538,-73.72167,2019-0208,"Feb 8th 2019, 10:02:58 pm",2019,2.75,$2.75 ,Plain,Queens,Jamaica Avenue,City of New York,New York,United States
Baker's Pizza,40.7294399,-73.98125,2019-0205,"Feb 5th 2019, 8:45:31 pm",2019,3,$3.00 ,Plain,Manhattan,Avenue A,City of New York,New York,United States
Kiss My Slice,40.75576,-73.99052,2019-0124,"Jan 24th 2019, 6:45:02 pm",2019,2.75,$2.75 ,Plain,Manhattan,Broadway,City of New York,New York,United States
99 Cent Fresh Hot Pizza,40.69232,-73.98696,2019-0104,"Jan 4th 2019, 11:16:28 pm",2019,1,$1.00 ,Plain,Brooklyn,Willoughby Street,City of New York,New York,United States
Kiss My Slice,40.75576,-73.99052,2018-1213,"Dec 13th 2018, 6:27:25 pm",2018,1,$1.00 ,Plain,Manhattan,Broadway,City of New York,New York,United States
Springfield & LA Bari Pizza & Restaurant,40.6744308,-73.763588,2018-1108,"Nov 8th 2018, 4:47:58 pm",2018,2,$2.00 ,Plain,Queens,Farmers Boulevard,City of New York,New York,United States
Margherita Pizza Inc,40.70453082,-73.79679273,2018-1107,"Nov 7th 2018, 2:43:40 pm",2018,3,$3.00 ,Plain,Queens,Jamaica Avenue,City of New York,New York,United States
Vaccaro's Pizzeria & Trattoria,40.72795,-73.71088,2018-1031,"Oct 31st 2018, 2:48:15 pm",2018,2.65,$2.65 ,Plain,Queens,Little Neck Parkway,City of New York,New York,United States
Mario's Pizzeria,40.66489,-73.73525,2018-1017,"Oct 17th 2018, 2:20:32 pm",2018,2.5,$2.50 ,Plain,Queens,Francis Lewis Boulevard,City of New York,New York,United States
Mario's Pizza,40.65763,-73.76724,2018-0929,"Sep 29th 2018, 1:45:47 pm",2018,2.75,$2.75 ,Plain,Queens,Guy R. Brewer Boulevard,City of New York,New York,United States
Big John's Pizza,40.7185614,-73.7358451,2018-0912,"Sep 12th 2018, 3:38:58 pm",2018,3.25,$3.25 ,Pepperoni,Queens,Jamaica Avenue,City of New York,New York,United States
Lamici,40.6635174,-73.7767928,2018-0908,"Sep 8th 2018, 3:08:48 pm",2018,2.5,$2.50 ,Plain,Queens,Rockaway Boulevard,City of New York,New York,United States
Two Boots Pizza,40.72369,-73.98489,2018-0327,"Mar 27th 2018, 2:54:01 pm",2018,4.08,$4.08 ,Pepperoni,Manhattan,East 3rd Street,City of New York,New York,United States
Alba Pizzeria,40.7093836,-73.8188509,2017-1212,"Dec 12th 2017, 2:01:45 pm",2017,2.75,$2.75 ,Plain,Queens,Queens Boulevard,City of New York,New York,United States
Pizza Plus,40.80188,-73.93691,2017-1208,"Dec 8th 2017, 2:23:35 pm",2017,2,$2.00 ,Plain,Manhattan,3rd Avenue,City of New York,New York,United States
Am PM Pizza Bagel,40.62614,-73.97608,2017-1206,"Dec 6th 2017, 2:58:45 pm",2017,2,$2.00 ,Plain,Brooklyn,McDonald Avenue,City of New York,New York,United States
Pino's Pizza,40.6009756,-74.0005968,2017-1205,"Dec 5th 2017, 5:05:46 pm",2017,2.5,$2.50 ,Plain,Brooklyn,Bath Avenue,City of New York,New York,United States
Margherita Pizza,40.7043939,-73.7971569,2017-1129,"Nov 29th 2017, 2:56:10 pm",2017,3,$3.00 ,Plain,Queens,Jamaica Avenue,City of New York,New York,United States
Carbo's Pizzeria,40.86262,-73.84324,2017-1128,"Nov 28th 2017, 3:51:39 pm",2017,2.5,$2.50 ,Plain,The Bronx,Eastchester Road,City of New York,New York,United States
Antonio's Pizzeria & Cafe,40.69294,-73.99097,2017-1022,"Oct 22nd 2017, 12:21:22 pm",2017,2.5,$2.50 ,Plain,Brooklyn,Court Street,City of New York,New York,United States
Rosa's Pizza,40.71221,-73.90001,2017-0814,"Aug 14th 2017, 11:26:59 am",2017,2.65,$2.65 ,Plain,Queens,Fresh Pond Road,City of New York,New York,United States
2 Bros Pizza,40.75695,-73.9935,2017-0803,"Aug 3rd 2017, 6:54:31 pm",2017,1,$1.00 ,Plain,Manhattan,9th Avenue,City of New York,New York,United States
Gotham Pizza,40.73214,-73.98825,2017-0728,"Jul 28th 2017, 4:05:02 pm",2017,2.75,$2.75 ,Plain,Manhattan,3rd Avenue,City of New York,New York,United States
Joey's Pizza,40.7262164,-73.8951812,2017-0628,"Jun 28th 2017, 8:58:07 pm",2017,2.75,$2.75 ,Plain,Queens,Grand Avenue,City of New York,New York,United States
NY Fresh Pizza,40.7651482,-73.9881363,2017-0616,"Jun 16th 2017, 5:42:08 pm",2017,1,$1.00 ,Plain,Manhattan,9th Avenue,City of New York,New York,United States
Gotham Pizza,40.74381,-74.00295,2017-0531,"May 31st 2017, 8:42:52 pm",2017,3,$3.00 ,Pepperoni,Manhattan,West 19th Street,City of New York,New York,United States
Scarr's Pizza,40.71539,-73.99153,2017-0516,"May 16th 2017, 12:54:18 pm",2017,3.75,$3.75 ,Pepperoni,Manhattan,Orchard Street,City of New York,New York,United States
Sutton Pizzeria,40.76183,-73.96015,2017-0503,"May 3rd 2017, 8:20:08 pm",2017,2.75,$2.75 ,Plain,Manhattan,1st Avenue,City of New York,New York,United States
Little Gio's Pizza,40.72374,-73.9879,2017-0429,"Apr 29th 2017, 1:57:12 pm",2017,2.25,$2.25 ,Plain,Manhattan,1st Avenue,City of New York,New York,United States
99 Cent Express Pizza,40.75024,-73.9705,2017-0421,"Apr 21st 2017, 8:34:08 pm",2017,1,$1.00 ,Plain,Manhattan,East 43rd Street,City of New York,New York,United States
Sofia Pizza Shoppe,40.75674,-73.96431,2017-0412,"Apr 12th 2017, 2:37:39 pm",2017,4.5,$4.50 ,Pepperoni,Manhattan,1st Avenue,City of New York,New York,United States
Luigi's Family Italian Ristorante and Pizzeria,40.77843,-73.94863,2017-0322,"Mar 22nd 2017, 7:05:00 pm",2017,2.75,$2.75 ,Plain,Manhattan,East 88th Street,City of New York,New York,United States
Italian Village Pizzeria & Restaurant NYC,40.77149,-73.95309,2017-0211,"Feb 11th 2017, 6:58:17 pm",2017,2.75,$2.75 ,Plain,Manhattan,1st Avenue,City of New York,New York,United States
Bosa's Pizza of Harlem,40.802747,-73.9340882,2017-0211,"Feb 11th 2017, 5:02:12 pm",2017,2,$2.00 ,Plain,Manhattan,East 125th Street,City of New York,New York,United States
Rivoli Pizza II,40.7332899,-74.00619,2017-0127,"Jan 27th 2017, 1:51:10 pm",2017,3,$3.00 ,Plain,Manhattan,Hudson Street,City of New York,New York,United States
J's Pizza,40.7398164,-73.9989453,2017-0127,"Jan 21st 2017, 5:22:27 pm",2017,3.25,$3.25 ,Pepperoni,Manhattan,West 16th Street,City of New York,New York,United States
44st Pizza,40.75202,-73.97376,2017-0119,"Jan 19th 2017, 3:42:04 pm",2017,1,$1.00 ,Plain,Manhattan,3rd Avenue,City of New York,New York,United States
Joey Pepperoni's Pizza,40.740868,-73.978965,2016-1224,"Dec 24th 2016, 2:43:21 pm",2016,1,$1.00 ,Plain,Manhattan,2nd Avenue,City of New York,New York,United States
Tony's Pizzeria & Restaurant,40.6992,-73.91882,2016-1022,"Oct 22nd 2016, 7:52:03 pm",2016,2.5,$2.50 ,Plain,Brooklyn,Knickerbocker Avenue,City of New York,New York,United States
Villa Mia Pizzeria,40.66949,-73.99285,2016-1020,"Oct 20th 2016, 4:48:25 pm",2016,2.5,$2.50 ,Plain,Brooklyn,3rd Avenue,City of New York,New York,United States
Sofia Pizza Shoppe,40.75674,-73.96431,2016-1014,"Oct 14th 2016, 1:55:17 pm",2016,4,$4.00 ,Pepperoni,Manhattan,1st Avenue,City of New York,New York,United States
Mamma's Famous Ristorante,40.78806,-73.97707,2016-0920,"Sep 20th 2016, 4:25:12 pm",2016,3.85,$3.85 ,Pepperoni,Manhattan,Broadway,City of New York,New York,United States
Justino's Pizzeria,40.76960068,-73.98845172,2016-0909,"Sep 9th 2016, 6:30:30 pm",2016,3.5,$3.50 ,Pepperoni,Manhattan,10th Avenue,City of New York,New York,United States
New York sal's pizza,40.7637799,-73.99224,2016-0909,"Sep 9th 2016, 2:33:24 pm",2016,2.75,$2.75 ,Plain,Manhattan,10th Avenue,City of New York,New York,United States
Pizza & Pita,40.74385051,-73.97396489,2016-0908,"Sep 8th 2016, 2:38:36 pm",2016,2.75,$2.75 ,Plain,Manhattan,East 34th Street,City of New York,New York,United States
Luigi's Gourmet Pizza,40.76559,-73.98349,2016-0825,"Aug 25th 2016, 4:30:15 pm",2016,2.75,$2.75 ,Plain,Manhattan,8th Avenue,City of New York,New York,United States
Giuseppe's Pizza At St George,40.64222552,-74.07674037,2016-0823,"Aug 23rd 2016, 1:12:17 pm",2016,2,$2.00 ,Plain,Staten Island,Hyatt Street,City of New York,New York,United States
Tom's Pizza & Italian Restaurant Inc,40.69498,-73.84286,2016-0822,"Aug 22nd 2016, 12:29:24 pm",2016,2,$2.00 ,Plain,Queens,Jamaica Avenue,City of New York,New York,United States
Three Brothers 3,40.680423,-73.753499,2016-0820,"Aug 20th 2016, 3:07:31 pm",2016,2,$2.00 ,Plain,Queens,Merrick Boulevard,City of New York,New York,United States
Domenick's Pizza,40.6781657,-73.8317404,2016-0820,"Aug 20th 2016, 1:07:19 pm",2016,2,$2.00 ,Plain,Queens,Rockaway Boulevard,City of New York,New York,United States
John & Tony's,40.76042052,-73.9616057,2016-0819,"Aug 19th 2016, 8:41:44 pm",2016,2.95,$2.95 ,Plain,Manhattan,1st Avenue,City of New York,New York,United States
Mario's Pizza,40.68683,-73.96644,2016-0818,"Aug 18th 2016, 7:49:54 pm",2016,3,$3.00 ,Pepperoni,Brooklyn,Waverly Avenue,City of New York,New York,United States
J&D Pizzeria Restaurant,40.67429,-73.87879,2016-0813,"Aug 13th 2016, 12:20:48 pm",2016,1,$1.00 ,Plain,Brooklyn,Pitkin Avenue,City of New York,New York,United States
Lenny's Pizza,40.65064377,-73.83810071,2016-0813,"Aug 13th 2016, 1:44:41 pm",2016,3,$3.00 ,Plain,Queens,Cross Bay Boulevard,City of New York,New York,United States
Romeo's Pizzeria,40.6739049,-73.8434862,2016-0807,"Aug 7th 2016, 2:02:48 pm",2016,2.5,$2.50 ,Plain,Queens,Cross Bay Boulevard,City of New York,New York,United States
Dany's Pizza Restaurant,40.690672,-73.869665,2016-0807,"Aug 7th 2016, 11:23:31 am",2016,2,$2.00 ,Plain,Brooklyn,Jamaica Avenue,City of New York,New York,United States
Cafe Daniellos,40.75882,-73.96543,2016-0728,"Jul 28th 2016, 5:08:33 pm",2016,2.75,$2.75 ,Plain,Manhattan,2nd Avenue,City of New York,New York,United States
Gino's Pizzeria,40.65234,-73.95902,2016-0727,"Jul 27th 2016, 6:56:54 pm",2016,2.25,$2.25 ,Plain,Brooklyn,Flatbush Avenue,City of New York,New York,United States
Armando's Pizza,40.610228,-73.922216,2016-0727,"Jul 27th 2016, 6:34:38 pm",2016,2.45,$2.45 ,Plain,Brooklyn,Flatbush Avenue,City of New York,New York,United States
Ray's Pizza,40.72299,-73.99458,2016-0702,"Jul 2nd 2016, 6:54:55 pm",2016,3.95,$3.95 ,Grandma,Manhattan,Prince Street,City of New York,New York,United States
Claudio's Pizzeria,40.7604,-73.99469,2016-0629,"Jun 29th 2016, 5:41:10 pm",2016,3.75,$3.75 ,Pepperoni,Manhattan,10th Avenue,City of New York,New York,United States
Aenos Pizza,40.83679,-73.88908,2016-0629,"Jun 29th 2016, 4:02:39 pm",2016,2.25,$2.25 ,Plain,The Bronx,Boston Road,City of New York,New York,United States
Luke Pizza,40.8293304,-73.8915024,2016-0627,"Jun 27th 2016, 4:05:13 pm",2016,2.5,$2.50 ,Plain,The Bronx,Southern Boulevard,City of New York,New York,United States
Fresco Pizza & Pasta,40.8142087,-73.9131972,2016-0627,"Jun 27th 2016, 3:26:09 pm",2016,2.25,$2.25 ,Plain,The Bronx,East 149th Street,City of New York,New York,United States
Pinos La Forchetta Pizzeria & Restaurant,40.67133,-73.9777,2016-0626,"Jun 26th 2016, 1:54:00 am",2016,2.75,$2.75 ,Plain,Brooklyn,7th Avenue,City of New York,New York,United States
Bleecker Street Pizza,40.73226681,-74.00341905,2016-0617,"Jun 17th 2016, 3:13:29 pm",2016,3.25,$3.25 ,Pepperoni,Manhattan,7th Avenue South,City of New York,New York,United States
Roma Pizza,40.7803,-73.95312,2016-0611,"Jun 11th 2016, 9:20:40 pm",2016,2.5,$2.50 ,Plain,Manhattan,3rd Avenue,City of New York,New York,United States
Saba's Pizza NY,40.77711,-73.95716,2016-0609,"Jun 9th 2016, 7:54:59 pm",2016,3.25,$3.25 ,Plain,Manhattan,Lexington Avenue,City of New York,New York,United States
Little Italy Pizza,40.77856,-73.95294,2016-0609,"Jun 9th 2016, 2:09:20 pm",2016,2.75,$2.75 ,Plain,Manhattan,East 86th Street,City of New York,New York,United States
99¢ Pizza,40.69244206,-73.98670256,2016-0601,"Jun 1st 2016, 9:12:04 pm",2016,1,$1.00 ,Plain,Brooklyn,Willoughby Street,City of New York,New York,United States
My PIE Pizzeria,40.76079,-73.96941,2016-0524,"May 24th 2016, 11:12:09 pm",2016,5.25,$5.25 ,Grandma,Manhattan,East 57th Street,City of New York,New York,United States
Sal's Pizza Store,40.68361,-73.99514,2016-0523,"May 23rd 2016, 8:34:01 pm",2016,2.75,$2.75 ,Plain,Brooklyn,Court Street,City of New York,New York,United States
Cotta Bene Pizzeria Restaurant,40.67686,-73.98619,2016-0517,"May 17th 2016, 8:32:10 pm",2016,2.5,$2.50 ,Plain,Brooklyn,Carroll Street,City of New York,New York,United States
NY Pizza Suprema,40.75014,-73.99518,2016-0505,"May 5th 2016, 4:44:28 pm",2016,3,$3.00 ,Plain,Manhattan,8th Avenue,City of New York,New York,United States
Pizza Boy II,40.74552183,-73.90555705,2016-0503,"May 3rd 2016, 6:17:27 pm",2016,2.45,$2.45 ,Plain,Queens,Woodside Avenue,City of New York,New York,United States
Martiniello's Pizzeria,40.74885,-73.87086,2016-0503,"May 3rd 2016, 1:26:30 pm",2016,1.5,$1.50 ,Plain,Queens,95th Street,City of New York,New York,United States
Marabella Pizza,40.74031,-73.92373,2016-0502,"May 2nd 2016, 7:33:18 pm",2016,2.5,$2.50 ,Plain,Queens,Greenpoint Avenue,City of New York,New York,United States
Mark's Pizza,40.67882,-74.01138,2016-0430,"Apr 30th 2016, 7:51:16 pm",2016,2.5,$2.50 ,Plain,Brooklyn,Van Brunt Street,City of New York,New York,United States
Picasso Pizzeria,40.71021,-74.01649,2016-0429,"Apr 29th 2016, 7:01:14 pm",2016,3.15,$3.15 ,Plain,Manhattan,South End Avenue,City of New York,New York,United States
Mario's Pizzeria,40.68346,-73.99002,2016-0419,"Apr 19th 2016, 11:43:02 pm",2016,1.5,$1.50 ,Plain,Brooklyn,Hoyt Street,City of New York,New York,United States
Milano Pizza Shop,40.79684,-73.93812,2016-0323,"Mar 23rd 2016, 5:20:04 pm",2016,2.25,$2.25 ,Plain,Manhattan,2nd Avenue,City of New York,New York,United States
620 Caton Pizzeria,40.64755,-73.97392,2016-0315,"Mar 15th 2016, 8:12:12 pm",2016,2.5,$2.50 ,Plain,Brooklyn,Caton Avenue,City of New York,New York,United States
Gotham Pizza,40.74381,-74.00295,2016-0213,"Feb 13th 2016, 9:58:42 pm",2016,2.5,$2.50 ,Plain,Manhattan,West 19th Street,City of New York,New York,United States
Bella Napoli,40.7451099,-73.99471,2016-0213,"Feb 13th 2016, 5:10:46 pm",2016,2.45,$2.45 ,Plain,Manhattan,7th Avenue,City of New York,New York,United States
Lunetta Pizza & Restaurant,40.73721,-73.98395,2016-0129,"Jan 29th 2016, 8:07:48 pm",2016,2.5,$2.50 ,Plain,Manhattan,East 21st Street,City of New York,New York,United States
Royal Pizza,40.74875,-73.97614,2016-0126,"Jan 26th 2016, 6:50:46 pm",2016,2.5,$2.50 ,Plain,Manhattan,3rd Avenue,City of New York,New York,United States
Luigi Pizza Restaurant,40.74674,-73.99722,2016-0105,"Jan 5th 2016, 9:57:09 pm",2016,2.25,$2.25 ,Plain,Manhattan,8th Avenue,City of New York,New York,United States
Pizza Prince,40.72390868,-73.95038682,2015-1231,"Dec 31st 2015, 5:08:00 pm",2015,3.25,$3.25 ,Pepperoni,Brooklyn,Nassau Avenue,City of New York,New York,United States
Little Italy Pizza,40.77783381,-73.98249241,2015-1231,"Dec 31st 2015, 10:50:23 pm",2015,3.5,$3.50 ,Pepperoni,Manhattan,Broadway,City of New York,New York,United States
DJ Pizza,40.74645,-73.98026,2015-1228,"Dec 28th 2015, 5:57:55 pm",2015,2.5,$2.50 ,Plain,Manhattan,East 34th Street,City of New York,New York,United States
San Remo Pizza,40.70031,-73.90613,2015-1226,"Dec 26th 2015, 5:57:06 pm",2015,2.5,$2.50 ,Plain,Queens,Myrtle Avenue,City of New York,New York,United States
Tony's Original's,40.63829,-74.07938,2015-1224,"Dec 24th 2015, 2:34:11 pm",2015,2,$2.00 ,Plain,Staten Island,Corson Avenue,City of New York,New York,United States
Fiore's Pizza,40.72875,-74.0001,2015-1222,"Dec 22nd 2015, 8:15:57 pm",2015,3.5,$3.50 ,Pepperoni,Manhattan,Bleecker Street,City of New York,New York,United States
Abitino's Trattoria Pizzeria,40.7546051,-73.9685234,2015-1220,"Dec 20th 2015, 2:07:57 pm",2015,3,$3.00 ,Plain,Manhattan,2nd Avenue,City of New York,New York,United States
99 Cents Fresh Pizza,40.7331,-73.99955,2015-1217,"Dec 17th 2015, 7:32:10 pm",2015,1,$1.00 ,Plain,Manhattan,6th Avenue,City of New York,New York,United States
Gourmet Park,40.76329,-73.96846,2015-1216,"Dec 16th 2015, 5:03:15 pm",2015,2.5,$2.50 ,Pepperoni,Manhattan,East 60th Street,City of New York,New York,United States
City Slice,40.7654294,-73.9909294,2015-1213,"Dec 13th 2015, 2:09:19 pm",2015,2.75,$2.75 ,Plain,Manhattan,10th Avenue,City of New York,New York,United States
Majestic Pizza,40.7100713,-74.0103149,2015-1210,"Dec 10th 2015, 6:33:27 pm",2015,2.5,$2.50 ,Plain,Manhattan,Cortlandt Street,City of New York,New York,United States
Luna Pizza,40.71350162,-73.99854598,2015-1205,"Dec 5th 2015, 8:12:13 pm",2015,4,$4.00 ,Pepperoni,Manhattan,Oliver Street,City of New York,New York,United States
Rosetti's Pizza,40.7238,-74.0045899,2015-1203,"Dec 3rd 2015, 3:53:13 pm",2015,2.75,$2.75 ,Plain,Manhattan,Sullivan Street,City of New York,New York,United States
Sal Pizza,40.70445869,-73.91924267,2015-1124,"Nov 24th 2015, 8:26:30 pm",2015,2.25,$2.25 ,Plain,Brooklyn,Wyckoff Avenue,City of New York,New York,United States
Pizza 33,40.74505,-73.97821,2015-1121,"Nov 21st 2015, 6:09:28 pm",2015,3,$3.00 ,Plain,Manhattan,East 33rd Street,City of New York,New York,United States
Dough Boys Pizza,40.7438563,-73.9792757,2015-1120,"Nov 20th 2015, 2:19:15 pm",2015,5,$5.00 ,Pepperoni,Manhattan,3rd Avenue,City of New York,New York,United States
Yankee Pizza,40.7267,-73.97727,2015-1120,"Nov 20th 2015, 11:52:31 pm",2015,2.25,$2.25 ,Plain,Manhattan,East 11th Street,City of New York,New York,United States
